City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,hirara,24.8,125.2833,294.07,68,40,6.17,JP,1700434704
302,suomussalmi,64.8869,28.9078,267.96,96,100,2.65,FI,1700435017
303,karangampel,-6.4622,108.4519,300.59,68,23,3.47,ID,1700434760
304,papao,-17.75,-149.55,303.97,87,100,11.61,PF,1700435018
305,onguday,50.75,86.15,271.46,94,100,0.98,RU,1700435018
306,lihue,21.9789,-159.3672,298.4,88,100,3.6,US,1700434641
307,souillac,-20.5167,57.5167,298.36,83,40,5.14,MU,1700435018
308,yeppoon,-23.1333,150.7333,299.03,76,100,4.45,AU,1700435018
309,lewiston orchards,46.3804,-116.9754,283.1,58,0,7.2,US,1700435019
310,bartin,41.5833,32.5,278.28,90,100,6.62,TR,1700435019
311,orsa,54.5153,30.4053,267.76,77,90,2.04,BY,1700434725
312,guangshui,31.6199,113.9978,284.19,68,0,1.18,CN,1700435019
313,kamien pomorski,53.9685,14.7726,282.35,94,100,6.27,PL,1700435020
314,colares,38.7992,-9.4469,289.44,92,9,3.13,PT,1700435020
315,chillicothe,39.3331,-82.9824,284.96,56,0,0.0,US,1700434748
316,nabire,-3.3667,135.4833,300.85,79,32,1.79,ID,1700435020
317,west bay,19.3667,-81.4167,301.19,71,40,3.09,KY,1700435021
318,baruun-urt,46.6806,113.2792,267.44,74,6,5.86,MN,1700434890
319,kalawit,8.0667,122.5167,300.65,78,33,2.43,PH,1700435021
320,tezpur,26.6333,92.8,290.43,87,0,2.1,IN,1700435021
321,parabel',58.6978,81.4825,264.21,90,100,6.71,RU,1700435022
322,dampit,-8.2116,112.7493,296.03,88,36,1.53,ID,1700435022
323,mangrol,21.1167,70.1167,296.59,51,0,5.03,IN,1700435022
324,kalmunai,7.4167,81.8167,297.34,91,96,2.27,LK,1700435022
325,kusheriki,10.5328,6.4422,297.54,21,99,3.16,NG,1700435023
326,kapit,2.0167,112.9333,296.88,100,98,0.3,MY,1700434909
327,crane,31.3974,-102.3501,296.01,26,0,9.76,US,1700434703
328,pruszcz gdanski,54.2622,18.6363,275.91,92,100,5.66,PL,1700435023
329,sola,-13.8833,167.55,299.88,76,65,9.13,VU,1700434635
330,kisangani,0.5167,25.2,295.12,100,100,1.06,CD,1700435023
331,yakeshi,49.2833,120.7333,261.11,93,40,1.94,CN,1700435024
332,saint croix,17.7397,-64.7388,301.4,80,40,4.63,VI,1700435024
333,taruma,-22.7467,-50.5772,296.72,86,100,3.95,BR,1700435024
334,vielha,42.6846,0.7726,277.08,67,78,1.48,ES,1700435024
335,la passe,45.5549,-0.8967,285.36,85,58,2.5,FR,1700434636
336,vila velha,-20.3297,-40.2925,298.68,84,20,3.13,BR,1700435025
337,vilyuchinsk,52.9306,158.4028,278.3,79,100,8.21,RU,1700434596
338,iwon-up,40.3231,128.6553,276.48,45,0,2.73,KP,1700435025
339,labytnangi,66.6572,66.4183,244.01,96,38,0.82,RU,1700434680
340,armacao de buzios,-22.7469,-41.8817,298.18,97,100,3.04,BR,1700435025
341,egilsstadir,65.2653,-14.3948,275.1,93,100,2.06,IS,1700435026
342,yuzhno-kurilsk,44.0306,145.8556,278.91,84,100,5.13,RU,1700435026
343,taksimo,56.3444,114.8794,261.37,95,97,1.68,RU,1700435026
344,wakkanai,45.4094,141.6739,277.64,84,100,7.15,JP,1700435026
345,madalena,41.2162,-8.3345,288.45,95,26,0.95,PT,1700435026
346,sisimiut,66.9395,-53.6735,268.57,80,92,5.06,GL,1700434686
347,sao joao da barra,-21.6403,-41.0511,299.2,93,89,3.99,BR,1700434626
348,beykonak,36.3257,30.303,285.94,45,0,2.9,TR,1700435027
349,sirte,31.2089,16.5887,291.88,57,0,2.58,LY,1700434517
350,fort st. john,56.2499,-120.8529,279.09,65,75,7.72,CA,1700434601
351,roma,43.2128,-75.4557,275.98,82,100,5.66,US,1700434597
352,uige,-7.6087,15.0613,292.35,99,93,0.64,AO,1700435028
353,coahuayana de hidalgo,18.7,-103.6583,301.0,80,74,2.17,MX,1700434628
354,nadym,65.5333,72.5167,248.28,99,74,4.62,RU,1700435028
355,cadale,2.7603,46.3222,300.24,81,38,4.27,SO,1700435028
356,oltinko'l,40.8011,72.1634,285.8,57,48,0.58,UZ,1700435029
357,madang,-5.2246,145.7966,301.57,79,76,3.27,PG,1700435029
358,saldanha,-33.0117,17.9442,291.18,84,100,4.58,ZA,1700435029
359,makarska,43.2969,17.0178,283.93,86,7,1.56,HR,1700435029
360,bel ombre,-4.6167,55.4167,302.06,74,40,2.57,SC,1700435029
361,susuman,62.7833,148.1667,243.23,99,85,0.79,RU,1700434695
362,labuan,5.2767,115.2417,299.35,94,20,0.51,MY,1700435030
363,tucuma,-0.1833,-50.05,300.44,78,73,4.03,BR,1700435030
